Date,Price,Open,High,Low,Vol.,Change %
9/10/2024,"2,516.12","2,506.84","2,518.57","2,500.16",,0.43%
9/9/2024,"2,505.25","2,497.32","2,507.42","2,485.60",,0.33%
9/6/2024,"2,497.03","2,516.90","2,529.30","2,485.15",,-0.77%
9/5/2024,"2,516.32","2,495.50","2,523.54","2,493.76",,0.89%
9/4/2024,"2,494.19","2,492.94","2,500.20","2,471.95",,0.06%
9/3/2024,"2,492.76","2,500.50","2,506.44","2,473.25",,-0.26%
9/2/2024,"2,499.29","2,502.74","2,507.50","2,490.14",,-0.15%
8/30/2024,"2,503.03","2,520.89","2,527.07","2,494.36",,-0.72%
8/29/2024,"2,521.18","2,504.65","2,528.77","2,503.65",,0.76%
8/28/2024,"2,502.25","2,522.74","2,529.15","2,493.66",,-0.88%
8/27/2024,"2,524.57","2,518.30","2,526.27","2,503.41",,0.31%
8/26/2024,"2,516.89","2,511.43","2,527.76","2,508.71",,0.19%
8/23/2024,"2,512.07","2,482.20","2,518.45","2,481.20",,1.16%
8/22/2024,"2,483.29","2,512.50","2,514.82","2,470.86",,-1.14%
8/21/2024,"2,511.95","2,512.82","2,520.09","2,494.15",,-0.07%
8/20/2024,"2,513.74","2,501.55","2,532.05","2,497.33",,0.39%
8/19/2024,"2,503.92","2,508.40","2,510.45","2,485.83",,-0.13%
8/16/2024,"2,507.28","2,456.57","2,509.89","2,450.76",,2.08%
8/15/2024,"2,456.10","2,448.15","2,470.25","2,432.19",,0.35%
8/14/2024,"2,447.64","2,467.40","2,478.49","2,438.12",,-0.71%
8/13/2024,"2,465.03","2,472.64","2,477.02","2,458.50",,-0.29%
8/12/2024,"2,472.25","2,431.21","2,473.48","2,423.84",,1.70%
8/9/2024,"2,430.93","2,427.29","2,437.15","2,416.93",,0.17%
8/8/2024,"2,426.75","2,382.43","2,427.80","2,380.70",,1.90%
8/7/2024,"2,381.53","2,389.67","2,407.05","2,379.05",,-0.33%
8/6/2024,"2,389.37","2,410.01","2,418.35","2,381.79",,-0.76%
8/5/2024,"2,407.65","2,443.27","2,458.80","2,364.40",,-1.46%
8/2/2024,"2,443.29","2,445.16","2,477.72","2,410.83",,-0.09%
8/1/2024,"2,445.42","2,448.10","2,462.40","2,430.25",,-0.11%
7/31/2024,"2,448.10","2,410.09","2,451.00","2,410.17",,1.65%
7/30/2024,"2,408.43","2,383.66","2,413.00","2,376.51",,1.04%
7/29/2024,"2,383.54","2,387.20","2,403.23","2,369.77",,-0.09%
7/26/2024,"2,385.57","2,364.30","2,390.82","2,355.89",,0.89%
7/25/2024,"2,364.50","2,398.49","2,401.32","2,353.19",,-1.38%
7/24/2024,"2,397.59","2,408.94","2,432.05","2,396.50",,-0.48%
7/23/2024,"2,409.21","2,396.80","2,412.15","2,388.26",,0.48%
7/22/2024,"2,397.65","2,400.41","2,412.32","2,384.00",,-0.13%
7/19/2024,"2,400.79","2,445.34","2,446.29","2,393.92",,-1.81%
7/18/2024,"2,444.97","2,460.13","2,475.02","2,440.41",,-0.55%
7/17/2024,"2,458.38","2,476.22","2,483.78","2,451.60",,-0.41%
7/16/2024,"2,468.57","2,424.80","2,469.91","2,423.54",,1.92%
7/15/2024,"2,422.07","2,409.50","2,439.74","2,401.35",,0.45%
7/12/2024,"2,411.27","2,416.47","2,418.37","2,391.52",,-0.15%
7/11/2024,"2,414.78","2,371.58","2,424.62","2,370.83",,1.84%
7/10/2024,"2,371.07","2,363.80","2,386.75","2,362.73",,0.32%
7/9/2024,"2,363.58","2,358.60","2,371.52","2,349.59",,0.20%
7/8/2024,"2,358.80","2,391.77","2,391.85","2,351.16",,-1.37%
7/5/2024,"2,391.46","2,358.01","2,393.04","2,354.03",,1.50%
7/4/2024,"2,356.12","2,353.70","2,362.64","2,350.76",,0.00%
7/3/2024,"2,356.06","2,328.00","2,365.06","2,326.93",,1.15%
7/2/2024,"2,329.28","2,332.05","2,336.90","2,319.24",,-0.10%
7/1/2024,"2,331.70","2,326.46","2,338.72","2,318.55",,0.26%
6/28/2024,"2,325.71","2,327.75","2,339.79","2,319.15",,-0.07%
6/27/2024,"2,327.45","2,299.80","2,331.00","2,296.50",,1.29%
6/26/2024,"2,297.91","2,320.00","2,323.95","2,293.70",,-0.91%
6/25/2024,"2,319.01","2,333.25","2,337.26","2,315.56",,-0.60%
6/24/2024,"2,332.93","2,321.60","2,335.02","2,317.37",,0.54%
6/21/2024,"2,320.34","2,360.30","2,368.85","2,316.76",,-1.66%
6/20/2024,"2,359.63","2,329.15","2,365.52","2,327.30",,1.38%
6/19/2024,"2,327.48","2,329.79","2,335.10","2,323.84",,-0.04%
6/18/2024,"2,328.33","2,319.38","2,333.25","2,306.63",,0.41%
6/17/2024,"2,318.87","2,332.20","2,333.48","2,310.02",,-0.59%
6/14/2024,"2,332.52","2,302.52","2,336.87","2,301.35",,1.27%
6/13/2024,"2,303.19","2,325.70","2,326.70","2,295.68",,-0.83%
6/12/2024,"2,322.55","2,315.53","2,341.70","2,310.80",,0.27%
6/11/2024,"2,316.27","2,311.00","2,320.17","2,297.69",,0.25%
6/10/2024,"2,310.60","2,296.00","2,313.87","2,287.31",,0.78%
6/7/2024,"2,292.71","2,376.50","2,387.85","2,286.77",,-3.49%
6/6/2024,"2,375.61","2,355.16","2,378.57","2,353.60",,0.88%
6/5/2024,"2,354.78","2,328.00","2,358.07","2,325.88",,1.16%
6/4/2024,"2,327.68","2,349.00","2,351.76","2,315.53",,-0.96%
6/3/2024,"2,350.35","2,329.61","2,354.82","2,314.76",,1.00%
5/31/2024,"2,326.97","2,345.07","2,353.24","2,323.96",,-0.68%
5/30/2024,"2,343.00","2,339.67","2,351.83","2,322.72",,0.18%
5/29/2024,"2,338.77","2,361.00","2,362.86","2,334.75",,-0.94%
5/28/2024,"2,360.95","2,352.29","2,364.12","2,340.17",,0.43%
5/27/2024,"2,350.74","2,334.50","2,358.56","2,332.36",,0.73%
5/24/2024,"2,333.76","2,328.40","2,347.54","2,325.40",,0.23%
5/23/2024,"2,328.37","2,378.60","2,383.86","2,327.00",,-2.10%
5/22/2024,"2,378.25","2,423.75","2,426.64","2,374.98",,-1.79%
